[2025-10-18T21:35:27.175+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-18T21:35:27.436+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: jobs_jobspy_daily.collect_jobspy manual__2025-10-18T21:35:23.884928+00:00 [queued]>
[2025-10-18T21:35:27.493+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: jobs_jobspy_daily.collect_jobspy manual__2025-10-18T21:35:23.884928+00:00 [queued]>
[2025-10-18T21:35:27.496+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-10-18T21:35:27.598+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): collect_jobspy> on 2025-10-18 21:35:23.884928+00:00
[2025-10-18T21:35:27.626+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=3880) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-18T21:35:27.620+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'jobs_jobspy_daily', 'collect_jobspy', 'manual__2025-10-18T21:35:23.884928+00:00', '--job-id', '87', '--raw', '--subdir', 'DAGS_FOLDER/jobs_jobspy_daily.py', '--cfg-path', '/tmp/tmp0k8o2wfu']
[2025-10-18T21:38:02.432+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Besançon (france)
[2025-10-18T21:38:02.632+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Rouen (france)
[2025-10-18T21:38:02.868+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Perpignan (france)
[2025-10-18T21:38:04.759+0000] {subprocess.py:93} INFO - [OK] 46 rows for 'chef de projet' @ France (france)
[2025-10-18T21:38:04.971+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'chef de projet' @ Remote (france)
[2025-10-18T21:38:05.910+0000] {subprocess.py:93} INFO - [OK] 23 rows for 'chef de projet' @ Paris (france)
[2025-10-18T21:38:06.398+0000] {subprocess.py:93} INFO - [OK] 5 rows for 'chef de projet' @ Lyon (france)
[2025-10-18T21:38:06.822+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'chef de projet' @ Marseille (france)
[2025-10-18T21:38:07.402+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'chef de projet' @ Toulouse (france)
[2025-10-18T21:38:08.008+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'chef de projet' @ Lille (france)
[2025-10-18T21:38:08.221+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'chef de projet' @ Bordeaux (france)
[2025-10-18T21:38:08.714+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'chef de projet' @ Nantes (france)
[2025-10-18T21:38:09.139+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'chef de projet' @ Strasbourg (france)
[2025-10-18T21:38:09.344+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'chef de projet' @ Montpellier (france)
[2025-10-18T21:38:09.704+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'chef de projet' @ Rennes (france)
[2025-10-18T21:38:10.141+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'chef de projet' @ Nice (france)
[2025-10-18T21:38:10.637+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'chef de projet' @ Grenoble (france)
[2025-10-18T21:38:11.169+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'chef de projet' @ Reims (france)
[2025-10-18T21:38:11.809+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'chef de projet' @ Le Havre (france)
[2025-10-18T21:38:12.335+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'chef de projet' @ Saint-Étienne (france)
[2025-10-18T21:38:12.806+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'chef de projet' @ Toulon (france)
[2025-10-18T21:38:13.045+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'chef de projet' @ Dijon (france)
[2025-10-18T21:38:13.525+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'chef de projet' @ Angers (france)
[2025-10-18T21:38:13.727+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'chef de projet' @ Nîmes (france)
[2025-10-18T21:38:13.926+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'chef de projet' @ Clermont-Ferrand (france)
[2025-10-18T21:38:14.478+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'chef de projet' @ Aix-en-Provence (france)
[2025-10-18T21:38:14.690+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'chef de projet' @ Brest (france)
[2025-10-18T21:38:15.121+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'chef de projet' @ Tours (france)
[2025-10-18T21:38:15.709+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'chef de projet' @ Orléans (france)
[2025-10-18T21:38:16.160+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'chef de projet' @ Metz (france)
[2025-10-18T21:38:16.688+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'chef de projet' @ Besançon (france)
[2025-10-18T21:38:17.515+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'chef de projet' @ Rouen (france)
[2025-10-18T21:38:17.789+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'chef de projet' @ Perpignan (france)
