[2025-10-18T21:10:45.338+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'marketing' @ Remote (france)
[2025-10-18T21:10:45.965+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'marketing' @ Remote (canada)
[2025-10-18T21:10:47.203+0000] {subprocess.py:93} INFO - [OK] 57 rows for 'marketing' @ Paris (france)
[2025-10-18T21:10:47.970+0000] {subprocess.py:93} INFO - [OK] 11 rows for 'marketing' @ Paris (canada)
[2025-10-18T21:10:49.004+0000] {subprocess.py:93} INFO - [OK] 10 rows for 'marketing' @ Lyon (france)
[2025-10-18T21:10:49.317+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'marketing' @ Lyon (canada)
[2025-10-18T21:10:52.370+0000] {subprocess.py:93} INFO - [OK] 150 rows for 'sales' @ France (france)
[2025-10-18T21:10:52.632+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'sales' @ France (canada)
[2025-10-18T21:10:52.837+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'sales' @ Remote (france)
[2025-10-18T21:10:53.516+0000] {subprocess.py:93} INFO - [OK] 6 rows for 'sales' @ Remote (canada)
[2025-10-18T21:10:56.006+0000] {subprocess.py:93} INFO - [OK] 150 rows for 'sales' @ Paris (france)
[2025-10-18T21:10:57.402+0000] {subprocess.py:93} INFO - [OK] 38 rows for 'sales' @ Paris (canada)
[2025-10-18T21:10:58.629+0000] {subprocess.py:93} INFO - [OK] 46 rows for 'sales' @ Lyon (france)
[2025-10-18T21:10:58.930+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'sales' @ Lyon (canada)
[2025-10-18T21:11:00.041+0000] {subprocess.py:93} INFO - [OK] 35 rows for 'security' @ France (france)
[2025-10-18T21:11:00.335+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'security' @ France (canada)
[2025-10-18T21:11:00.577+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'security' @ Remote (france)
[2025-10-18T21:11:01.166+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'security' @ Remote (canada)
[2025-10-18T21:11:01.744+0000] {subprocess.py:93} INFO - [OK] 12 rows for 'security' @ Paris (france)
[2025-10-18T21:11:02.490+0000] {subprocess.py:93} INFO - [OK] 15 rows for 'security' @ Paris (canada)
[2025-10-18T21:11:02.986+0000] {subprocess.py:93} INFO - [OK] 6 rows for 'security' @ Lyon (france)
[2025-10-18T21:11:03.252+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'security' @ Lyon (canada)
[2025-10-18T21:11:03.854+0000] {subprocess.py:93} INFO - [OK] 15 rows for 'analyst' @ France (france)
[2025-10-18T21:11:04.163+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'analyst' @ France (canada)
[2025-10-18T21:11:04.411+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'analyst' @ Remote (france)
[2025-10-18T21:11:04.983+0000] {subprocess.py:93} INFO - [OK] 3 rows for 'analyst' @ Remote (canada)
[2025-10-18T21:11:05.516+0000] {subprocess.py:93} INFO - [OK] 8 rows for 'analyst' @ Paris (france)
[2025-10-18T21:11:06.235+0000] {subprocess.py:93} INFO - [OK] 9 rows for 'analyst' @ Paris (canada)
[2025-10-18T21:11:06.708+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'analyst' @ Lyon (france)
[2025-10-18T21:11:06.994+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'analyst' @ Lyon (canada)
[2025-10-18T21:11:08.021+0000] {subprocess.py:93} INFO - [OK] 19 rows for 'consultant' @ France (france)
[2025-10-18T21:11:08.303+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ France (canada)
[2025-10-18T21:11:08.567+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Remote (france)
